Municipality,County,Year,Adoption Year,adopted_this_year,ordinance_profile_population,municipal_population,percent_25_plus_high_school_or_higher,non_hispanic_white_share,per_capita_income,per_capita_spending,texas_smoker_percentage,proportion_state_population_local_restriction
Abilene,"Taylor, Jones",2009,2014,0,125182,116168,81.55,64.9,20206,1959.48,17.9,0.181996
Abilene,"Taylor, Jones",2010,2014,0,125182,116637,81.38,62.89,20826,1959.48,15.8,0.175965
Abilene,"Taylor, Jones",2011,2014,0,125182,117566,82.17,62.5,20825,1959.48,19.2,0.185339
Abilene,"Taylor, Jones",2012,2014,0,125182,118484,82.33,61.52,21206,1959.48,18.1,0.191585
Abilene,"Taylor, Jones",2013,2014,0,125182,119721,82.78,61.21,20762,1959.48,15.9,0.195921
Abilene,"Taylor, Jones",2014,2014,1,125182,120776,83.08,60.53,21095,1959.48,14.6,0.23083
Alamo,Hidalgo,2009,2017,0,19493,16929,55.46,16.66,12110,1383.49,17.9,0.181996
Alamo,Hidalgo,2010,2017,0,19493,17816,59.06,15.99,13202,1383.49,15.8,0.175965
Alamo,Hidalgo,2011,2017,0,19493,18145,61.28,16.09,14890,1383.49,19.2,0.185339
Alamo,Hidalgo,2012,2017,0,19493,18345,61.48,16.85,15683,1383.49,18.1,0.191585
Alamo,Hidalgo,2013,2017,0,19493,18658,59.38,14.73,15078,1383.49,15.9,0.195921
Alamo,Hidalgo,2014,2017,0,19493,18907,61.9,14.56,16007,1383.49,14.6,0.23083
Alamo,Hidalgo,2015,2017,0,19493,18943,62.79,13.71,15787,1383.49,15.2,0.245775
Alamo,Hidalgo,2016,2017,0,19493,19021,62.57,13.2,15164,1383.49,14.2,0.258409
Alamo,Hidalgo,2017,2017,1,19493,19442,65.44,12.69,14675,1383.49,15.7,0.325654
Anthony,El Paso,2009,2017,0,3671,4212,64.54,13.2,10230,488.68,17.9,0.181996
Anthony,El Paso,2010,2017,0,3671,4766,69.01,13.01,11287,488.68,15.8,0.175965
Anthony,El Paso,2011,2017,0,3671,4875,75.28,15.82,10576,488.68,19.2,0.185339
Anthony,El Paso,2012,2017,0,3671,4992,78.4,14.58,10963,488.68,18.1,0.191585
Anthony,El Paso,2013,2017,0,3671,5102,79.72,14.35,11099,488.68,15.9,0.195921
Anthony,El Paso,2014,2017,0,3671,5218,76.99,13.28,11849,488.68,14.6,0.23083
Anthony,El Paso,2015,2017,0,3671,5305,78.18,12.08,12382,488.68,15.2,0.245775
Anthony,El Paso,2016,2017,0,3671,5402,78.22,10.2,13337,488.68,14.2,0.258409
Anthony,El Paso,2017,2017,1,3671,5503,77.09,11.03,13616,488.68,15.7,0.325654
Arlington,Tarrant,2009,2017,0,394266,370217,84.55,47.99,25024,1586.74,17.9,0.181996
Arlington,Tarrant,2010,2017,0,394266,359410,84.58,45.73,25045,1586.74,15.8,0.175965
Arlington,Tarrant,2011,2017,0,394266,363933,84.13,44.22,25317,1586.74,19.2,0.185339
Arlington,Tarrant,2012,2017,0,394266,367154,84.17,43.91,25468,1586.74,18.1,0.191585
Arlington,Tarrant,2013,2017,0,394266,371267,84.33,43.48,25456,1586.74,15.9,0.195921
Arlington,Tarrant,2014,2017,0,394266,375305,84.56,42.87,25236,1586.74,14.6,0.23083
Arlington,Tarrant,2015,2017,0,394266,379716,84.75,42.13,25368,1586.74,15.2,0.245775
Arlington,Tarrant,2016,2017,0,394266,383899,84.59,41.54,25957,1586.74,14.2,0.258409
Arlington,Tarrant,2017,2017,1,394266,388225,84.75,40.08,26627,1586.74,15.7,0.325654
Austin,"Travis, Williamson",2009,2017,0,961855,747984,84.32,49.78,30063,4930.89,17.9,0.181996
Austin,"Travis, Williamson",2010,2017,0,961855,764129,85.09,49.03,30286,4930.89,15.8,0.175965
Austin,"Travis, Williamson",2011,2017,0,961855,782149,85.6,48.62,31170,4930.89,19.2,0.185339
Austin,"Travis, Williamson",2012,2017,0,961855,799939,86.09,48.63,31387,4930.89,18.1,0.191585
Austin,"Travis, Williamson",2013,2017,0,961855,836800,86.69,49.11,31990,4930.89,15.9,0.195921
Austin,"Travis, Williamson",2014,2017,0,961855,864218,87.01,48.66,32672,4930.89,14.6,0.23083
Austin,"Travis, Williamson",2015,2017,0,961855,887061,87.54,48.68,34015,4930.89,15.2,0.245775
Austin,"Travis, Williamson",2016,2017,0,961855,907779,88.0,48.89,35672,4930.89,14.2,0.258409
Austin,"Travis, Williamson",2017,2017,1,961855,916906,88.54,48.56,37888,4930.89,15.7,0.325654
Beeville,Bee,2009,2018,0,13669,12517,68.0,28.21,14587,1799.92,17.9,0.181996
Beeville,Bee,2010,2018,0,13669,13344,66.24,27.47,11182,1799.92,15.8,0.175965
Beeville,Bee,2011,2018,0,13669,13160,68.56,26.95,14067,1799.92,19.2,0.185339
Beeville,Bee,2012,2018,0,13669,13058,70.29,30.39,15849,1799.92,18.1,0.191585
Beeville,Bee,2013,2018,0,13669,13068,71.89,30.9,17781,1799.92,15.9,0.195921
Beeville,Bee,2014,2018,0,13669,13102,72.35,28.21,17541,1799.92,14.6,0.23083
Beeville,Bee,2015,2018,0,13669,13192,76.02,26.61,18947,1799.92,15.2,0.245775
Beeville,Bee,2016,2018,0,13669,13209,73.5,26.7,19255,1799.92,14.2,0.258409
Beeville,Bee,2017,2018,0,13669,13117,74.44,26.2,19389,1799.92,15.7,0.325654
Beeville,Bee,2018,2018,1,13669,13044,77.45,26.65,18557,1799.92,14.4,0.364026
Benbrook,Tarrant,2009,2014,0,24520,22565,93.5,83.22,32310,729.54,17.9,0.181996
Benbrook,Tarrant,2010,2014,0,24520,21047,94.69,81.94,33059,729.54,15.8,0.175965
Benbrook,Tarrant,2011,2014,0,24520,21249,94.89,80.86,32922,729.54,19.2,0.185339
Benbrook,Tarrant,2012,2014,0,24520,21433,94.26,81.28,33706,729.54,18.1,0.191585
Benbrook,Tarrant,2013,2014,0,24520,21655,93.49,79.33,34209,729.54,15.9,0.195921
Benbrook,Tarrant,2014,2014,1,24520,21898,93.81,77.08,34236,729.54,14.6,0.23083
Bonham,Fannin,2009,2015,0,10408,10513,78.11,69.19,14692,250.79,17.9,0.181996
Bonham,Fannin,2010,2015,0,10408,10208,81.52,66.48,16301,250.79,15.8,0.175965
Bonham,Fannin,2011,2015,0,10408,10169,76.67,65.45,15771,250.79,19.2,0.185339
Bonham,Fannin,2012,2015,0,10408,10147,76.44,66.73,15445,250.79,18.1,0.191585
Bonham,Fannin,2013,2015,0,10408,10083,78.35,66.1,15687,250.79,15.9,0.195921
Bonham,Fannin,2014,2015,0,10408,10059,75.55,70.87,15572,250.79,14.6,0.23083
Bonham,Fannin,2015,2015,1,10408,10044,74.64,66.52,14976,250.79,15.2,0.245775
Brookshire,Waller,2009,2017,0,5066,3808,63.24,17.12,16145,680.56,17.9,0.181996
Brookshire,Waller,2010,2017,0,5066,4486,63.11,13.64,14754,680.56,15.8,0.175965
Brookshire,Waller,2011,2017,0,5066,4594,63.94,11.36,14570,680.56,19.2,0.185339
Brookshire,Waller,2012,2017,0,5066,4656,64.71,12.8,14454,680.56,18.1,0.191585
Brookshire,Waller,2013,2017,0,5066,4748,69.35,12.36,13110,680.56,15.9,0.195921
Brookshire,Waller,2014,2017,0,5066,4804,67.47,16.63,12972,680.56,14.6,0.23083
Brookshire,Waller,2015,2017,0,5066,4879,62.05,18.3,14400,680.56,15.2,0.245775
Brookshire,Waller,2016,2017,0,5066,4999,71.79,15.28,15205,680.56,14.2,0.258409
Brookshire,Waller,2017,2017,1,5066,5087,75.53,13.31,16686,680.56,15.7,0.325654
Brownsville,Cameron,2009,2012,0,186738,170584,59.49,6.29,11824,2824.82,17.9,0.181996
Brownsville,Cameron,2010,2012,0,186738,169599,59.16,5.48,12130,2824.82,15.8,0.175965
Brownsville,Cameron,2011,2012,0,186738,172491,60.29,5.22,12900,2824.82,19.2,0.185339
Brownsville,Cameron,2012,2012,1,186738,175210,61.8,5.17,13556,2824.82,18.1,0.191585
Bryan,Brazos,2009,2019,0,83980,71977,76.44,48.77,18702,6096.43,17.9,0.181996
Bryan,Brazos,2010,2019,0,83980,73531,76.85,44.78,18930,6096.43,15.8,0.175965
Bryan,Brazos,2011,2019,0,83980,74844,77.44,44.17,19015,6096.43,19.2,0.185339
Bryan,Brazos,2012,2019,0,83980,76082,77.63,44.29,19793,6096.43,18.1,0.191585
Bryan,Brazos,2013,2019,0,83980,77139,77.63,42.08,19816,6096.43,15.9,0.195921
Bryan,Brazos,2014,2019,0,83980,78368,77.26,41.34,20499,6096.43,14.6,0.23083
Bryan,Brazos,2015,2019,0,83980,79411,78.42,41.06,21159,6096.43,15.2,0.245775
Bryan,Brazos,2016,2019,0,83980,80552,78.09,40.65,22330,6096.43,14.2,0.258409
Bryan,Brazos,2017,2019,0,83980,81743,78.81,40.85,23092,6096.43,15.7,0.325654
Bryan,Brazos,2018,2019,0,83980,83199,79.17,40.19,24111,6096.43,14.4,0.364026
Bryan,Brazos,2019,2019,1,83980,84096,80.44,39.51,24497,6096.43,14.6,0.425187
Burkburnett,Wichita,2009,2019,0,10939,10602,86.29,87.1,22766,1074.7,17.9,0.181996
Burkburnett,Wichita,2010,2019,0,10939,10786,88.01,91.31,24256,1074.7,15.8,0.175965
Burkburnett,Wichita,2011,2019,0,10939,10774,88.22,89.46,25350,1074.7,19.2,0.185339
Burkburnett,Wichita,2012,2019,0,10939,10773,87.82,88.51,25173,1074.7,18.1,0.191585
Burkburnett,Wichita,2013,2019,0,10939,10829,87.3,86.38,23466,1074.7,15.9,0.195921
Burkburnett,Wichita,2014,2019,0,10939,10915,87.16,84.73,24062,1074.7,14.6,0.23083
Burkburnett,Wichita,2015,2019,0,10939,10960,89.32,82.58,23695,1074.7,15.2,0.245775
Burkburnett,Wichita,2016,2019,0,10939,11046,88.95,81.28,24658,1074.7,14.2,0.258409
Burkburnett,Wichita,2017,2019,0,10939,11100,88.64,81.35,24002,1074.7,15.7,0.325654
Burkburnett,Wichita,2018,2019,0,10939,11170,89.81,81.62,24922,1074.7,14.4,0.364026
Burkburnett,Wichita,2019,2019,1,10939,11167,91.21,82.86,25123,1074.7,14.6,0.425187
College Station,Brazos,2009,2010,0,120511,80972,91.53,71.53,18226,2128.71,17.9,0.181996
College Station,Brazos,2010,2010,1,120511,88541,93.18,69.18,20079,2128.71,15.8,0.175965
Combes,Cameron,2009,2018,0,2999,2825,58.54,11.19,11333,2.96,17.9,0.181996
Combes,Cameron,2010,2018,0,2999,2904,61.78,12.6,11550,2.96,15.8,0.175965
Combes,Cameron,2011,2018,0,2999,2911,65.24,11.92,13525,2.96,19.2,0.185339
Combes,Cameron,2012,2018,0,2999,2939,66.93,15.65,12649,2.96,18.1,0.191585
Combes,Cameron,2013,2018,0,2999,2968,63.36,13.81,14210,2.96,15.9,0.195921
Combes,Cameron,2014,2018,0,2999,2991,65.22,15.68,14793,2.96,14.6,0.23083
Combes,Cameron,2015,2018,0,2999,3019,66.99,15.8,15817,2.96,15.2,0.245775
Combes,Cameron,2016,2018,0,2999,3041,66.52,14.07,17648,2.96,14.2,0.258409
Combes,Cameron,2017,2018,0,2999,3048,67.48,11.25,19080,2.96,15.7,0.325654
Combes,Cameron,2018,2018,1,2999,3031,67.49,12.41,17466,2.96,14.4,0.364026
Copperas Cove,"Coryell, Lampasas",2009,2013,0,36670,29604,89.37,54.4,20712,1143.56,17.9,0.181996
Copperas Cove,"Coryell, Lampasas",2010,2013,0,36670,31595,91.5,59.17,21346,1143.56,15.8,0.175965
Copperas Cove,"Coryell, Lampasas",2011,2013,0,36670,31793,92.51,60.95,22357,1143.56,19.2,0.185339
Copperas Cove,"Coryell, Lampasas",2012,2013,0,36670,32639,92.06,61.1,22544,1143.56,18.1,0.191585
Copperas Cove,"Coryell, Lampasas",2013,2013,1,36670,32869,92.21,60.77,22223,1143.56,15.9,0.195921
Corpus Christi,"Nueces, Kleberg, San Patricio",2009,2009,1,317863,283843,79.28,35.14,22318,2194.09,17.9,0.181996
Dallas,"Dallas, Denton, Collin, Kaufman",2009,2009,1,1304379,1269204,71.91,30.95,26440,3424.74,17.9,0.181996
DeSoto,Dallas,2009,2015,0,56145,46291,90.37,26.33,26864,1507.99,17.9,0.181996
DeSoto,Dallas,2010,2015,0,56145,46624,92.3,22.83,27194,1507.99,15.8,0.175965
DeSoto,Dallas,2011,2015,0,56145,47786,92.87,20.43,27559,1507.99,19.2,0.185339
DeSoto,Dallas,2012,2015,0,56145,49011,92.58,19.41,27262,1507.99,18.1,0.191585
DeSoto,Dallas,2013,2015,0,56145,50014,91.63,17.72,28021,1507.99,15.9,0.195921
DeSoto,Dallas,2014,2015,0,56145,50837,90.82,16.22,27576,1507.99,14.6,0.23083
DeSoto,Dallas,2015,2015,1,56145,51478,90.51,14.22,28448,1507.99,15.2,0.245775
Del Rio,Val Verde,2009,2017,0,34673,36085,60.41,15.19,14761,1474.11,17.9,0.181996
Del Rio,Val Verde,2010,2017,0,34673,35223,63.23,14.31,15677,1474.11,15.8,0.175965
Del Rio,Val Verde,2011,2017,0,34673,35396,64.11,13.95,16528,1474.11,19.2,0.185339
Del Rio,Val Verde,2012,2017,0,34673,35471,64.84,14.03,16625,1474.11,18.1,0.191585
Del Rio,Val Verde,2013,2017,0,34673,35578,66.75,14.29,17107,1474.11,15.9,0.195921
Del Rio,Val Verde,2014,2017,0,34673,36081,66.87,13.87,18301,1474.11,14.6,0.23083
Del Rio,Val Verde,2015,2017,0,34673,36119,66.17,13.76,17898,1474.11,15.2,0.245775
Del Rio,Val Verde,2016,2017,0,34673,36007,66.6,13.51,18519,1474.11,14.2,0.258409
Del Rio,Val Verde,2017,2017,1,34673,35951,67.62,13.26,19415,1474.11,15.7,0.325654
Denison,Grayson,2009,2018,0,24479,23797,80.95,76.75,19012,1713.59,17.9,0.181996
Denison,Grayson,2010,2018,0,24479,22728,80.88,74.74,19619,1713.59,15.8,0.175965
Denison,Grayson,2011,2018,0,24479,22719,82.03,74.47,20227,1713.59,19.2,0.185339
Denison,Grayson,2012,2018,0,24479,22655,84.47,75.67,19817,1713.59,18.1,0.191585
Denison,Grayson,2013,2018,0,24479,22697,84.04,78.73,20680,1713.59,15.9,0.195921
Denison,Grayson,2014,2018,0,24479,22745,85.56,77.3,21750,1713.59,14.6,0.23083
Denison,Grayson,2015,2018,0,24479,22846,85.85,77.81,21695,1713.59,15.2,0.245775
Denison,Grayson,2016,2018,0,24479,23080,86.62,77.28,22140,1713.59,14.2,0.258409
Denison,Grayson,2017,2018,0,24479,23342,86.13,76.41,24290,1713.59,15.7,0.325654
Denison,Grayson,2018,2018,1,24479,23820,87.49,74.71,25233,1713.59,14.4,0.364026
Donna,Hidalgo,2009,2017,0,16797,16715,56.56,13.93,11258,135.82,17.9,0.181996
Donna,Hidalgo,2010,2017,0,16797,15792,57.89,11.28,10610,135.82,15.8,0.175965
Donna,Hidalgo,2011,2017,0,16797,15896,57.53,10.39,11135,135.82,19.2,0.185339
Donna,Hidalgo,2012,2017,0,16797,15924,56.89,10.07,11276,135.82,18.1,0.191585
Donna,Hidalgo,2013,2017,0,16797,16010,61.11,9.98,11854,135.82,15.9,0.195921
Donna,Hidalgo,2014,2017,0,16797,16169,63.19,8.25,12494,135.82,14.6,0.23083
Donna,Hidalgo,2015,2017,0,16797,16292,60.77,7.41,12432,135.82,15.2,0.245775
Donna,Hidalgo,2016,2017,0,16797,16349,60.28,6.92,12018,135.82,14.2,0.258409
Donna,Hidalgo,2017,2017,1,16797,16507,64.12,6.49,12484,135.82,15.7,0.325654
Duncanville,Dallas,2009,2016,0,40706,35666,82.92,40.33,24888,1594.54,17.9,0.181996
Duncanville,Dallas,2010,2016,0,40706,37778,83.73,36.96,23852,1594.54,15.8,0.175965
Duncanville,Dallas,2011,2016,0,40706,38224,83.3,37.12,24532,1594.54,19.2,0.185339
Duncanville,Dallas,2012,2016,0,40706,38590,84.0,33.23,24955,1594.54,18.1,0.191585
Duncanville,Dallas,2013,2016,0,40706,39000,81.18,30.74,23781,1594.54,15.9,0.195921
Duncanville,Dallas,2014,2016,0,40706,39315,83.2,30.38,23907,1594.54,14.6,0.23083
Duncanville,Dallas,2015,2016,0,40706,39567,83.31,28.93,23489,1594.54,15.2,0.245775
Duncanville,Dallas,2016,2016,1,40706,39599,81.32,26.52,22783,1594.54,14.2,0.258409
Eagle Pass,Maverick,2009,2010,0,28130,25999,60.8,3.92,15257,1413.38,17.9,0.181996
Eagle Pass,Maverick,2010,2010,1,28130,25468,61.2,3.35,15123,1413.38,15.8,0.175965
Edinburg,Hidalgo,2009,2015,0,100243,67484,72.34,8.44,15440,1164.59,17.9,0.181996
Edinburg,Hidalgo,2010,2015,0,100243,72611,72.19,8.03,15542,1164.59,15.8,0.175965
Edinburg,Hidalgo,2011,2015,0,100243,74891,74.54,7.74,16414,1164.59,19.2,0.185339
Edinburg,Hidalgo,2012,2015,0,100243,77174,76.63,7.34,17034,1164.59,18.1,0.191585
Edinburg,Hidalgo,2013,2015,0,100243,77415,77.25,7.21,17103,1164.59,15.9,0.195921
Edinburg,Hidalgo,2014,2015,0,100243,79002,77.41,7.16,17388,1164.59,14.6,0.23083
Edinburg,Hidalgo,2015,2015,1,100243,80924,77.74,7.73,17616,1164.59,15.2,0.245775
El Paso,El Paso,2009,2014,0,678815,602672,72.38,14.98,17209,1885.45,17.9,0.181996
El Paso,El Paso,2010,2014,0,678815,628923,73.59,14.65,17812,1885.45,15.8,0.175965
El Paso,El Paso,2011,2014,0,678815,640066,74.58,14.74,18781,1885.45,19.2,0.185339
El Paso,El Paso,2012,2014,0,678815,650778,75.86,14.69,19262,1885.45,18.1,0.191585
El Paso,El Paso,2013,2014,0,678815,660795,76.38,14.66,19669,1885.45,15.9,0.195921
El Paso,El Paso,2014,2014,1,678815,669771,77.17,14.77,20050,1885.45,14.6,0.23083
Elsa,Hidalgo,2009,2017,0,5668,6493,60.92,0.51,10741,732.58,17.9,0.181996
Elsa,Hidalgo,2010,2017,0,5668,5639,54.48,0.74,12200,732.58,15.8,0.175965
Elsa,Hidalgo,2011,2017,0,5668,5689,50.22,0.33,10872,732.58,19.2,0.185339
Elsa,Hidalgo,2012,2017,0,5668,5853,49.84,0.38,11161,732.58,18.1,0.191585
Elsa,Hidalgo,2013,2017,0,5668,6042,50.52,0.35,10766,732.58,15.9,0.195921
Elsa,Hidalgo,2014,2017,0,5668,6232,51.49,0.67,10420,732.58,14.6,0.23083
Elsa,Hidalgo,2015,2017,0,5668,6444,57.91,0.22,8976,732.58,15.2,0.245775
Elsa,Hidalgo,2016,2017,0,5668,6542,56.5,0.4,8971,732.58,14.2,0.258409
Elsa,Hidalgo,2017,2017,1,5668,7135,59.81,0.71,10111,732.58,15.7,0.325654
Ennis,Ellis,2009,2018,0,20159,19212,68.93,45.64,18423,8967.99,17.9,0.181996
Ennis,Ellis,2010,2018,0,20159,18262,70.68,49.2,19800,8967.99,15.8,0.175965
Ennis,Ellis,2011,2018,0,20159,18480,71.51,49.68,20484,8967.99,19.2,0.185339
Ennis,Ellis,2012,2018,0,20159,18531,73.82,47.36,21295,8967.99,18.1,0.191585
Ennis,Ellis,2013,2018,0,20159,18631,74.09,48.25,20167,8967.99,15.9,0.195921
Ennis,Ellis,2014,2018,0,20159,18674,76.38,48.77,19539,8967.99,14.6,0.23083
Ennis,Ellis,2015,2018,0,20159,18758,74.63,45.87,19245,8967.99,15.2,0.245775
Ennis,Ellis,2016,2018,0,20159,18890,73.04,43.75,20671,8967.99,14.2,0.258409
Ennis,Ellis,2017,2018,0,20159,18864,74.03,41.04,21118,8967.99,15.7,0.325654
Ennis,Ellis,2018,2018,1,20159,19196,73.55,39.17,22868,8967.99,14.4,0.364026
Farmers Branch,Dallas,2009,2021,0,35991,26379,74.82,46.62,27258,1664.84,17.9,0.181996
Farmers Branch,Dallas,2010,2021,0,35991,28161,77.79,47.22,28528,1664.84,15.8,0.175965
Farmers Branch,Dallas,2011,2021,0,35991,28455,78.96,47.77,30579,1664.84,19.2,0.185339
Farmers Branch,Dallas,2012,2021,0,35991,28681,80.2,49.84,30141,1664.84,18.1,0.191585
Farmers Branch,Dallas,2013,2021,0,35991,29405,81.02,49.44,28095,1664.84,15.9,0.195921
Farmers Branch,Dallas,2014,2021,0,35991,30261,82.78,48.44,28738,1664.84,14.6,0.23083
Farmers Branch,Dallas,2015,2021,0,35991,31052,82.84,45.24,30054,1664.84,15.2,0.245775
Farmers Branch,Dallas,2016,2021,0,35991,32211,82.71,41.82,30993,1664.84,14.2,0.258409
Farmers Branch,Dallas,2017,2021,0,35991,33808,84.11,39.48,33214,1664.84,15.7,0.325654
Farmers Branch,Dallas,2018,2021,0,35991,35552,84.13,39.1,36110,1664.84,14.4,0.364026
Farmers Branch,Dallas,2019,2021,0,35991,39039,81.47,34.86,36058,1664.84,14.6,0.425187
Farmers Branch,Dallas,2020,2021,0,35991,42659,83.79,35.83,36111,1664.84,13.2,0.424763
Farmers Branch,Dallas,2021,2021,1,35991,36091,83.66,35.05,38940,1664.84,13.1,0.416292
Fort Worth,"Tarrant, Denton",2009,2018,0,918915,679077,77.72,44.07,23489,2195.46,17.9,0.181996
Fort Worth,"Tarrant, Denton",2010,2018,0,918915,705349,78.57,43.19,23792,2195.46,15.8,0.175965
Fort Worth,"Tarrant, Denton",2011,2018,0,918915,724699,79.05,42.34,24270,2195.46,19.2,0.185339
Fort Worth,"Tarrant, Denton",2012,2018,0,918915,743865,78.9,41.76,24338,2195.46,18.1,0.191585
Fort Worth,"Tarrant, Denton",2013,2018,0,918915,761092,79.91,41.34,24489,2195.46,15.9,0.195921
Fort Worth,"Tarrant, Denton",2014,2018,0,918915,778573,80.38,40.94,24726,2195.46,14.6,0.23083
Fort Worth,"Tarrant, Denton",2015,2018,0,918915,796614,80.77,40.72,25225,2195.46,15.2,0.245775
Fort Worth,"Tarrant, Denton",2016,2018,0,918915,815930,81.24,40.67,26040,2195.46,14.2,0.258409
Fort Worth,"Tarrant, Denton",2017,2018,0,918915,835129,81.53,40.25,27191,2195.46,15.7,0.325654
Fort Worth,"Tarrant, Denton",2018,2018,1,918915,855786,81.72,39.49,28330,2195.46,14.4,0.364026
Frisco,"Collin, Denton",2009,2019,0,200509,87712,94.47,71.33,41079,2269.73,17.9,0.181996
Frisco,"Collin, Denton",2010,2019,0,200509,103158,95.86,68.46,42747,2269.73,15.8,0.175965
Frisco,"Collin, Denton",2011,2019,0,200509,110013,95.87,67.25,42358,2269.73,19.2,0.185339
Frisco,"Collin, Denton",2012,2019,0,200509,116944,95.88,67.05,43073,2269.73,18.1,0.191585
Frisco,"Collin, Denton",2013,2019,0,200509,123663,95.95,66.64,42307,2269.73,15.9,0.195921
Frisco,"Collin, Denton",2014,2019,0,200509,130499,95.99,64.14,43595,2269.73,14.6,0.23083
Frisco,"Collin, Denton",2015,2019,0,200509,137797,95.86,63.38,44151,2269.73,15.2,0.245775
Frisco,"Collin, Denton",2016,2019,0,200509,145646,95.96,62.64,46969,2269.73,14.2,0.258409
Frisco,"Collin, Denton",2017,2019,0,200509,155363,95.82,60.2,48910,2269.73,15.7,0.325654
Frisco,"Collin, Denton",2018,2019,0,200509,165700,96.55,59.04,52378,2269.73,14.4,0.364026
Frisco,"Collin, Denton",2019,2019,1,200509,177020,96.42,56.55,53191,2269.73,14.6,0.425187
Hamlin,Fisher,2009,2018,0,1831,1666,75.19,68.31,19990,1725.59,17.9,0.181996
Hamlin,Fisher,2010,2018,0,1831,1824,70.44,76.43,19587,1725.59,15.8,0.175965
Hamlin,Fisher,2011,2018,0,1831,1792,74.79,71.65,18251,1725.59,19.2,0.185339
Hamlin,Fisher,2012,2018,0,1831,1893,79.54,69.94,18233,1725.59,18.1,0.191585
Hamlin,Fisher,2013,2018,0,1831,1740,83.81,77.59,20900,1725.59,15.9,0.195921
Hamlin,Fisher,2014,2018,0,1831,1773,86.82,69.99,19808,1725.59,14.6,0.23083
Hamlin,Fisher,2015,2018,0,1831,1627,88.86,62.32,19938,1725.59,15.2,0.245775
Hamlin,Fisher,2016,2018,0,1831,1615,87.45,64.89,22899,1725.59,14.2,0.258409
Hamlin,Fisher,2017,2018,0,1831,1684,89.12,64.73,23748,1725.59,15.7,0.325654
Hamlin,Fisher,2018,2018,1,1831,1740,84.77,57.24,25583,1725.59,14.4,0.364026
Harlingen,Cameron,2009,2014,0,71829,63366,73.07,22.93,17346,1903.65,17.9,0.181996
Harlingen,Cameron,2010,2014,0,71829,64186,72.93,20.01,17330,1903.65,15.8,0.175965
Harlingen,Cameron,2011,2014,0,71829,64716,72.43,19.97,17462,1903.65,19.2,0.185339
Harlingen,Cameron,2012,2014,0,71829,64947,73.13,18.58,17316,1903.65,18.1,0.191585
Harlingen,Cameron,2013,2014,0,71829,65296,72.7,18.32,17003,1903.65,15.9,0.195921
Harlingen,Cameron,2014,2014,1,71829,65677,72.55,17.66,17253,1903.65,14.6,0.23083
Henderson,Rusk,2009,2016,0,13271,11526,81.75,65.92,21126,1345.47,17.9,0.181996
Henderson,Rusk,2010,2016,0,13271,13213,81.69,60.16,21823,1345.47,15.8,0.175965
Henderson,Rusk,2011,2016,0,13271,13455,82.44,57.42,22224,1345.47,19.2,0.185339
Henderson,Rusk,2012,2016,0,13271,13614,78.56,52.12,19093,1345.47,18.1,0.191585
Henderson,Rusk,2013,2016,0,13271,13715,77.75,49.97,19156,1345.47,15.9,0.195921
Henderson,Rusk,2014,2016,0,13271,13723,81.15,51.97,21074,1345.47,14.6,0.23083
Henderson,Rusk,2015,2016,0,13271,13695,77.4,52.77,22308,1345.47,15.2,0.245775
Henderson,Rusk,2016,2016,1,13271,13587,73.83,52.4,20274,1345.47,14.2,0.258409
Hidalgo,Hidalgo,2009,2017,0,13964,11474,58.37,1.14,10961,289.97,17.9,0.181996
Hidalgo,Hidalgo,2010,2017,0,13964,10564,58.99,1.01,11587,289.97,15.8,0.175965
Hidalgo,Hidalgo,2011,2017,0,13964,10898,62.38,1.36,11815,289.97,19.2,0.185339
Hidalgo,Hidalgo,2012,2017,0,13964,11190,59.86,0.71,11530,289.97,18.1,0.191585
Hidalgo,Hidalgo,2013,2017,0,13964,12544,62.35,1.05,12001,289.97,15.9,0.195921
Hidalgo,Hidalgo,2014,2017,0,13964,13063,62.64,1.05,11448,289.97,14.6,0.23083
Hidalgo,Hidalgo,2015,2017,0,13964,13287,61.68,0.72,11497,289.97,15.2,0.245775
Hidalgo,Hidalgo,2016,2017,0,13964,13449,58.98,1.0,12082,289.97,14.2,0.258409
Hidalgo,Hidalgo,2017,2017,1,13964,13593,58.69,0.81,12321,289.97,15.7,0.325654
Highland Village,Denton,2009,2015,0,15899,16231,96.84,89.01,44791,1972.22,17.9,0.181996
Highland Village,Denton,2010,2015,0,15899,14702,97.92,88.23,46853,1972.22,15.8,0.175965
Highland Village,Denton,2011,2015,0,15899,14969,98.19,88.12,47810,1972.22,19.2,0.185339
Highland Village,Denton,2012,2015,0,15899,15144,98.46,88.29,49213,1972.22,18.1,0.191585
Highland Village,Denton,2013,2015,0,15899,15364,98.14,87.52,48467,1972.22,15.9,0.195921
Highland Village,Denton,2014,2015,0,15899,15589,97.69,88.09,49322,1972.22,14.6,0.23083
Highland Village,Denton,2015,2015,1,15899,15793,97.32,85.36,50892,1972.22,15.2,0.245775
Horizon City,El Paso,2009,2021,0,22489,11652,78.92,12.32,20006,584.83,17.9,0.181996
Horizon City,El Paso,2010,2021,0,22489,14567,79.39,12.94,18348,584.83,15.8,0.175965
Horizon City,El Paso,2011,2021,0,22489,15549,81.19,15.71,19514,584.83,19.2,0.185339
Horizon City,El Paso,2012,2021,0,22489,16859,81.76,16.44,18489,584.83,18.1,0.191585
Horizon City,El Paso,2013,2021,0,22489,17736,81.12,16.47,16517,584.83,15.9,0.195921
